textId,themeId,themeName,eventId,eventTitle,category,speaker,difficulty,isPool,poolIndex,text,feedback,time,budget,satisfaction,risk,compositeScore,tags,tone,setsFlags,requiresFlags
T0026,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,让领导出面确认,林总打了个电话。对方口头确认了——这次是跟领导说的，应该算数。,0,1,1,-1,1,budget_gain,diplomatic,,
T0027,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,发邮件并抄送双方领导,抄送了一串人。对方有点不爽，但以后赖不了账。,-1,-1,-1,-3,-6,risk_reducer,formal,,
T0028,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,FALSE,,默认认可并推进,你决定不等了，先推进再说。但愿对方不会反悔。,1,1,-1,2,3,time_save;budget_gain;risk_taker,risky,,
T0029,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,默认确认，继续推进,你决定不等了。希望对方不会反悔。,1,1,-1,2,3,time_save;budget_gain;risk_taker,risky,,
T0030,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,先推进内部工作，外部等确认,内部先动起来，外部暂缓。进度没耽误太多，风险也可控。,0,1,-1,1,1,budget_gain,safe,,
T0031,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,林总说没问题，我们就当确认了,你选择相信老板的判断。但如果出问题，锅是你的。,2,1,1,3,7,time_save;budget_gain;risk_taker,risky,,
T0032,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,跳过确认直接启动,全速前进！可惜方向可能不对。,2,-1,-1,3,3,time_save;risk_taker,risky,,
T0033,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,再等一天,你决定再等24小时。耐心有时候是最好的策略。,-1,-1,1,-1,-2,neutral,professional,,
T0034,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,FALSE,,群内礼貌 @ 客户,客户群内回复了OK，虽然不够正式，但聊胜于无。,-1,-1,-1,-1,-4,neutral,professional,,
T0035,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,群里@客户礼貌确认,客户在群里回了OK。不正式，但聊胜于无。,-1,-1,-1,-1,-4,neutral,professional,,
T0036,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,私聊客户委婉确认,私下沟通避免了尴尬。客户说基本没问题。,0,1,1,-1,1,budget_gain,safe,,
T0037,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,发一条带emoji的轻松消息,一个笑脸加一句那就按这个方向走啦~。客户回了个👍。,0,1,1,1,3,budget_gain,safe,,
T0038,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,群里发会议纪要让所有人确认,你在群里发了详细的会议纪要。沉默就是默认，对吧？,-1,-1,-1,-2,-5,risk_reducer,formal,,
T0039,client_call,甲方突然来电话,E003,客户口头认可无书面确认,risk_compliance,lin_zong,1,TRUE,,打电话直接确认,五分钟电话，客户亲口说没问题。比文字靠谱。,0,1,1,-1,1,budget_gain,safe,,
T0040,monday_morning,周一早会刚结束,E004,五分钟短会通知,time_pressure,lin_zong,1,FALSE,,立刻整理进度数据参会,你带着最新数据进入会议，林总表示满意。,-1,-1,1,-1,-2,neutral,professional,,
T0041,monday_morning,周一早会刚结束,E004,五分钟短会通知,time_pressure,lin_zong,1,FALSE,,推说手头有急事，让实习生小许替会,小许会议纪要写得还行，但林总觉得你不够重视。,0,1,-1,1,1,budget_gain,safe,,
T0042,budget_cut,项目预算被砍30%,E005,预算报销被卡,budget_conflict,caiwu_zhou,1,FALSE,,翻找历史邮件补交材料,在已删除邮件里翻出了当时的审批截图，小周勉强放行。,-2,1,1,-1,-1,time_heavy;budget_gain,professional,,
T0043,budget_cut,项目预算被砍30%,E005,预算报销被卡,budget_conflict,caiwu_zhou,1,FALSE,,自掏腰包先填坑,你默默转了一笔钱，项目预算保住了，但心在滴血。,0,-1,1,1,1,neutral,safe,,
T0044,budget_cut,项目预算被砍30%,E005,预算报销被卡,budget_conflict,caiwu_zhou,1,FALSE,,找林总特批,林总签了字，但记住了你不按流程办事。,-1,1,-1,-1,-2,budget_gain,diplomatic,,
T0045,supplier_chain,供应商集体掉链子,E006,供应商回复延迟,time_pressure,gongying_wang,2,FALSE,,连续电话轰炸,打了五通电话，王姐终于接了，数据明天给。,-1,-1,1,-1,-2,neutral,professional,,
T0046,supplier_chain,供应商集体掉链子,E006,供应商回复延迟,time_pressure,gongying_wang,2,FALSE,,换一个备选供应商,新供应商报价更高但更靠谱，数据质量也有保障。,-2,-2,1,-2,-5,time_heavy;budget_drain;risk_reducer,formal,,
T0047,supplier_chain,供应商集体掉链子,E006,供应商回复延迟,time_pressure,gongying_wang,2,FALSE,,先用去年数据估算,去年的数据套上今年的增长率，看起来挺像回事。,1,1,-1,2,3,time_save;budget_gain;risk_taker,risky,estimated_data,
T0048,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,FALSE,,立刻邮件撤回 + 电话道歉,客户表示理解，但以后会更仔细地审核你们的材料。,-2,-1,-1,-2,-6,time_heavy;risk_reducer,formal,,
T0049,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,紧急撤回，亲自重发,你花了一小时重写并逐一核对收件人。虽然费时但稳妥。,-2,-1,-1,-1,-5,time_heavy,professional,,
T0050,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,撤回后追加更正邮件,你在原邮件上追加了勘误。收到的人觉得你挺负责。,-1,-1,1,-1,-2,neutral,professional,,
T0051,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,不撤回，追加提醒说明,你在群里发了条请以最新版为准。有些人已经看了旧版。,0,1,-1,1,1,budget_gain,safe,,
T0052,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,让实习生自己发更正,小许战战兢兢地发了更正邮件。学到教训了，但客户可能已经看到了。,0,1,-1,2,2,budget_gain;risk_taker,risky,,
T0053,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,撤回后电话跟进每位收件人,你逐一打电话道歉。虽然花了半天时间，但客户都表示理解。,-2,-1,2,-2,-3,time_heavy;satisfaction_boost;risk_reducer,formal,,
T0054,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,FALSE,,将错就错，把讨论稿包装成超前预览版,客户觉得你们效率很高，但讨论稿上的批注让人尴尬。,-1,-1,-1,1,-2,neutral,professional,,
T0055,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,起草标准致歉邮件,措辞专业又诚恳的致歉信。客户回复下次注意就好。,-1,-1,1,-1,-2,neutral,professional,,
T0056,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,打电话道歉,电话里客户笑着说谁还没犯过错。关系更好了。,-1,-1,2,-2,-2,satisfaction_boost;risk_reducer,formal,,
T0057,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,送一份小礼物陪不是,一份下午茶外卖送到客户办公室。对方发朋友圈说被乙方暖到了。,0,-2,2,-1,-1,budget_drain;satisfaction_boost,professional,,
T0058,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,直接忽略，等对方提起再说,你决定不主动提。也许对方没注意到？,1,1,-1,2,3,time_save;budget_gain;risk_taker,risky,,
T0059,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,群里道歉并承诺改进流程,坦诚的态度赢得了尊重。张总说这态度不错。,0,1,1,-1,1,budget_gain,safe,,
T0060,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,FALSE,,让小许自己去处理,小许学会了危机处理——虽然学费是你们团队的信用。,1,1,-1,2,3,time_save;budget_gain;risk_taker,risky,,
T0061,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,制定邮件发送检查清单,一份简洁的checklist贴在了团队看板上。从此再无类似事故。,-1,-1,1,-2,-3,risk_reducer,formal,,
T0062,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,设置邮件延迟发送规则,所有外发邮件延迟5分钟。简单有效的防护。,0,1,1,-1,1,budget_gain,safe,,
T0063,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,加强培训，非惩罚性改进,你组织了分享会。小许红着眼睛说谢谢。团队凝聚力提升了。,-2,-1,1,-1,-3,time_heavy,professional,,
T0064,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,把锅推给系统故障,你说系统自动填充了错误的联系人组。IT部门很不高兴。,0,1,-1,2,2,budget_gain;risk_taker,risky,,
T0065,internal_review,领导查看中期版本,E007,实习生发错邮件,risk_compliance,shixi_xu,2,TRUE,,实行双人复核制度,邮件发出前必须第二人过目。慢了一点，但再也没出过事故。,-1,-1,1,-2,-3,risk_reducer,formal,,
T0066,system_launch,系统上线第一天,E008,技术阿哲的坏消息,budget_conflict,jishu_zhe,2,FALSE,,接受重写，追加开发时间,彻底重构后系统稳定多了，阿哲难得夸你做了正确决定。,-2,-1,1,-2,-4,time_heavy;risk_reducer,formal,,
T0067,system_launch,系统上线第一天,E008,技术阿哲的坏消息,budget_conflict,jishu_zhe,2,FALSE,,要求阿哲打补丁先撑过去,功能暂时能用，但阿哲说下次再出问题别找我。,-1,-1,-1,1,-2,neutral,professional,tech_debt,
T0068,system_launch,系统上线第一天,E008,技术阿哲的坏消息,budget_conflict,jishu_zhe,2,FALSE,,砍掉这个功能,客户问了功能去哪了，你说在升级中。,0,1,-1,1,1,budget_gain,safe,,
T0069,regulatory,监管问询来函,E009,合规审查驳回,risk_compliance,hegui_chen,2,FALSE,,逐条修改，确保合规,三处修改虽然耗时，但避免了潜在的监管风险。,-2,-1,1,-3,-5,time_heavy;risk_reducer,formal,,
T0070,regulatory,监管问询来函,E009,合规审查驳回,risk_compliance,hegui_chen,2,FALSE,,改两处，保留一处模糊表述,陈老师不太满意，但没有再坚持。,-1,-1,-1,1,-2,neutral,professional,compliance_gap,
T0071,regulatory,监管问询来函,E009,合规审查驳回,risk_compliance,hegui_chen,2,FALSE,,请林总出面协调,林总跟陈老师沟通后，双方各退一步。,-1,-1,-1,-1,-4,neutral,diplomatic,,
T0072,roadshow,路演前24小时,E010,招股书数据调整,time_pressure,zhang_zong,3,FALSE,,加班逐章修改,熬了一个通宵，招股书终于过审。,-2,-1,1,-2,-4,time_heavy;risk_reducer,formal,,
T0073,roadshow,路演前24小时,E010,招股书数据调整,time_pressure,zhang_zong,3,FALSE,,只改核心章节，其余加附录说明,保荐人勉强接受了折中方案。,-1,-1,-1,1,-2,neutral,professional,,
T0074,roadshow,路演前24小时,E010,招股书数据调整,time_pressure,zhang_zong,3,FALSE,,请外部咨询公司加急处理,花了大价钱，但专业团队确实快。,-1,-3,1,-1,-4,budget_drain,professional,,
T0075,last_minute,下班前突击汇报,E011,神秘甲方群突然活跃,time_pressure,shenmi_qun,1,FALSE,,立刻调集全组人员赶方案,全组奋战两小时，方案成功发出。甲方回了一个收到👍。,-2,-1,1,-1,-3,time_heavy,professional,,
T0076,last_minute,下班前突击汇报,E011,神秘甲方群突然活跃,time_pressure,shenmi_qun,1,FALSE,,先回一句正在推进稳住局面,暂时拖住了，但明天一早必须交。,1,1,-1,1,2,time_save;budget_gain,professional,,
T0077,last_minute,下班前突击汇报,E011,神秘甲方群突然活跃,time_pressure,shenmi_qun,1,FALSE,,打电话问对方要具体需求,对方说不清楚，你们专业的应该知道。白费了半小时。,-1,-1,-1,-1,-4,neutral,professional,,
T0078,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,FALSE,,仔细核对各版本后发送正确版本,花了十分钟比对，确认了真正的最新版。客户很满意。,-2,-1,2,-1,-2,time_heavy;satisfaction_boost,professional,,
T0079,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,找财务周姐私下沟通,周姐解释是系统自动触发。一杯咖啡的功夫就解冻了。,-1,-1,1,-1,-2,neutral,professional,,
T0080,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,提交正式解冻申请,填了三张表格。流程走了两天，但合规审计无话可说。,-2,-1,-1,-1,-5,time_heavy,professional,,
T0081,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,找林总特批紧急经费,林总大笔一挥批了特别经费。但周姐的脸色不太好看。,-1,1,-1,1,0,budget_gain,diplomatic,,
T0082,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,先用部门备用金垫付,备用金解了燃眉之急。但被审计查到会很麻烦。,0,1,-1,2,2,budget_gain;risk_taker,risky,,
T0083,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,暂停支出，等自动解冻,你决定等。项目进度暂停了，但省下来的钱让预算表好看多了。,1,1,-1,1,2,time_save;budget_gain,professional,,
T0084,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,FALSE,,凭直觉选一个最新修改时间的,你发了过去，但愿那就是对的。,1,1,-1,1,2,time_save;budget_gain,professional,,
T0085,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,优化现有资源，减少不必要开支,你砍掉了几个外包项。质量没降，成本却下来了。,0,2,1,1,4,budget_gain,professional,,
T0086,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,和供应商谈延期付款,供应商勉强同意了。但以后的合作可能会受影响。,0,1,-1,1,1,budget_gain,safe,,
T0087,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,向客户申请预付款,客户不太高兴但还是批了。现金流回来了，面子没了。,-1,2,-1,-1,-1,budget_gain,professional,,
T0088,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,内部众筹，先顶过这段,团队成员各自垫了一点。士气受损，但项目没停。,0,1,-1,2,2,budget_gain;risk_taker,risky,,
T0089,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,砍预算但要保证关键项,精确的外科手术式削减。核心交付不变，边缘项目暂停。,-1,2,1,-1,1,budget_gain,professional,,
T0090,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,FALSE,,把六个版本都发给客户让他自己选,客户回了两个字：专业。——但你听出了讽刺。,1,1,-2,1,1,time_save;budget_gain;satisfaction_hit,professional,,
T0091,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,和财务一起梳理预算明细,梳理后发现有30%的预算被错误归类。修正后宽裕多了。,-2,1,1,-1,-1,time_heavy;budget_gain,professional,,
T0092,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,做一份详细的预算使用报告,报告写得漂亮。领导看了说这预算用得值。,-2,-1,2,-2,-3,time_heavy;satisfaction_boost;risk_reducer,formal,,
T0093,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,和客户协商调整项目范围,范围调整后预算刚好够。双方都觉得合理。,-1,1,1,-1,0,budget_gain,professional,,
T0094,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,加速交付，提前收款,加班赶出阶段性成果，客户提前付了下一笔款。,-2,2,1,-1,0,time_heavy;budget_gain,professional,,
T0095,client_call,甲方突然来电话,E012,PPT文件名混乱,satisfaction_mgmt,zhang_zong,2,TRUE,,搁置非核心需求,你把最重要的三件事做了。其他的以后再说——如果真的还有以后的话。,1,2,-1,1,3,time_save;budget_gain,professional,,
T0096,scope_creep,客户突然加需求,E013,CEO临时加需求,satisfaction_mgmt,lin_zong,3,FALSE,,做三个不同风格的方案让CEO选,CEO选了第三个方案，说了句'就是这个感觉'。,-2,-1,2,-1,-2,time_heavy;satisfaction_boost,professional,,
T0097,scope_creep,客户突然加需求,E013,CEO临时加需求,satisfaction_mgmt,lin_zong,3,FALSE,,请林总帮忙确认CEO的偏好,林总问了半天，CEO说'你先做出来看看'。,-1,-1,1,-1,-2,neutral,professional,,
T0098,scope_creep,客户突然加需求,E013,CEO临时加需求,satisfaction_mgmt,lin_zong,3,FALSE,,微调配色和字体后重新提交,换了配色和字体，CEO说'好多了'。有时候视觉效果就是'感觉'。,-1,-1,1,1,0,neutral,professional,,
T0099,friday_afternoon,周五下午四点整,E014,下班前的系统崩溃,time_pressure,jishu_zhe,1,FALSE,,等系统修复后提交,等了两个小时，系统终于恢复了。审批安全提交。,-2,-1,1,-1,-3,time_heavy,professional,,
T0100,friday_afternoon,周五下午四点整,E014,下班前的系统崩溃,time_pressure,jishu_zhe,1,FALSE,,写邮件说明情况，申请补签,邮件已发，但林总不喜欢因为系统原因这种借口。,-1,-1,-1,1,-2,neutral,professional,,
T0101,friday_afternoon,周五下午四点整,E014,下班前的系统崩溃,time_pressure,jishu_zhe,1,FALSE,,让实习生小许盯着，你先下班,你走了，小许守到系统恢复。第二天小许有了新外号：'守夜人'。,1,1,-1,2,3,time_save;budget_gain;risk_taker,risky,,
T0102,pr_crisis,会后舆情发酵,E015,竞品舆情爆发,risk_compliance,hegui_chen,2,FALSE,,立即自检所有对外材料,发现了两个潜在隐患并及时修正，躲过一劫。,-2,-1,1,-3,-5,time_heavy;risk_reducer,formal,,
T0103,pr_crisis,会后舆情发酵,E015,竞品舆情爆发,risk_compliance,hegui_chen,2,FALSE,,关注舆情但不主动响应,暂时风平浪静，但谁知道明天会怎样？,0,1,-1,1,1,budget_gain,safe,,
T0104,pr_crisis,会后舆情发酵,E015,竞品舆情爆发,risk_compliance,hegui_chen,2,FALSE,,提前准备一份应急预案,预案在手，随时应对。陈老师对你的前瞻性表示认可。,-1,-1,1,-1,-2,neutral,professional,,
T0105,regulatory,监管问询来函,E016,合规追问数据来源,risk_compliance,hegui_chen,3,FALSE,,紧急补做数据收集，亡羊补牢,花了大半天补数据，虽然晚了点，但数据经得起推敲。,-2,-1,1,-2,-4,time_heavy;risk_reducer,formal,,data_missing
T0106,regulatory,监管问询来函,E016,合规追问数据来源,risk_compliance,hegui_chen,3,FALSE,,提供一份测算说明争取时间,陈老师不情愿地接过了测算说明，但说'下次不行了'。,-1,-1,-1,1,-2,neutral,professional,,data_missing
T0107,event_day,活动签到当天,E017,会后名单对不上,risk_compliance,gongying_wang,3,FALSE,,逐一核对监控和签到记录,发现是一个嘉宾带了两名助理，但只登记了一人。问题解决。,-2,-1,-1,-2,-6,time_heavy;risk_reducer,formal,,qr_unverified
T0108,event_day,活动签到当天,E017,会后名单对不上,risk_compliance,gongying_wang,3,FALSE,,按实际到场人数更新名单,名单更新了，但客户张总问'为什么每次都有这种问题'。,-1,-1,-1,1,-2,neutral,professional,,qr_unverified
T0109,system_launch,系统上线第一天,E018,技术债爆发,time_pressure,jishu_zhe,3,FALSE,,立即停机修复，接受服务中断,系统中断了4小时，但彻底修复后性能反而提升了。,-2,-2,-1,-2,-7,time_heavy;budget_drain;risk_reducer,formal,,tech_debt
T0110,system_launch,系统上线第一天,E018,技术债爆发,time_pressure,jishu_zhe,3,FALSE,,继续打补丁，先恢复服务,阿哲翻了个白眼，但还是把服务恢复了。他说这已经是第5个补丁了。,-1,-1,-1,2,-1,risk_taker,risky,,tech_debt
T0111,system_launch,系统上线第一天,E018,技术债爆发,time_pressure,jishu_zhe,3,FALSE,,切换回旧版本系统,旧系统虽然慢但稳定，客户没注意到切换。,-2,-1,-1,1,-3,time_heavy,professional,,tech_debt
T0112,system_launch,系统上线第一天,E019,自动化流程解锁,time_pressure,jishu_zhe,3,FALSE,,立即推广使用，感谢阿哲,新模板节省了大量重复劳动，阿哲难得被表扬了一次。,1,1,1,-2,1,time_save;budget_gain;risk_reducer,formal,auto_pilot,qr_verified
T0113,system_launch,系统上线第一天,E019,自动化流程解锁,time_pressure,jishu_zhe,3,FALSE,,先测试一下再上线,测试通过后，工具正式上线。慢是慢了点，但稳妥。,-1,-1,1,-1,-2,neutral,professional,,qr_verified
T0114,regulatory,监管问询来函,E020,合规隐患发酵,risk_compliance,hegui_chen,3,FALSE,,立即发布澄清声明,声明发出后舆情逐步平息。陈老师说'下次记得一开始就改'。,-2,-1,-1,-3,-7,time_heavy;risk_reducer,formal,,compliance_gap
T0115,regulatory,监管问询来函,E020,合规隐患发酵,risk_compliance,hegui_chen,3,FALSE,,私下联系对方沟通,对方同意撤稿，但欠了一个人情。,-1,-1,1,-1,-2,neutral,professional,,compliance_gap
T0116,regulatory,监管问询来函,E020,合规隐患发酵,risk_compliance,hegui_chen,3,FALSE,,不予回应，静待热度过去,你赌了一把。希望互联网的金鱼记忆定律还在生效。,1,1,-1,2,3,time_save;budget_gain;risk_taker,risky,,compliance_gap
T0117,regulatory,监管问询来函,E021,审计抽查数据溯源,risk_compliance,hegui_chen,3,FALSE,,坦白承认使用了估算数据,陈老师叹了口气，但表示会帮你在审计报告里用管理层最佳估计这个说法——这是合规界的懂的都懂。,-1,-1,-2,-1,-5,satisfaction_hit,professional,,estimated_data
T0118,regulatory,监管问询来函,E021,审计抽查数据溯源,risk_compliance,hegui_chen,3,FALSE,,紧急联系供应商补原始数据,王姐被你的连环电话吵醒，不情愿地翻出了当时的原始记录。数据补上了，代价不菲。,-2,-1,1,-2,-4,time_heavy;risk_reducer,formal,,estimated_data
